Dataset,Pattern,Target_Class,Blending,seed,Defense,N_Patterns,ACC,F1,Precision,Recall,TPR,FPR,TP,FP,TN,FN
cifar10,big_hello_kitty,0_all,0.1,0,vbd,2,0.9942,0.9706,0.98,0.9614,0.9614,0.0022,4807,98,44902,193
cifar10,big_hello_kitty,0_all,0.1,0,agpd_100,,0.9995,0.9975,1.0,0.995,0.995,0.0,4975,0,45000,25
cifar10,big_hello_kitty,0_all,0.1,0,scan_100,,0.9985,0.9923,1.0,0.9848,0.9848,0.0,4924,0,45000,76
cifar10,big_hello_kitty,0_all,0.1,0,agpd_2000,,,,,,,,,,,
cifar10,big_hello_kitty,0_all,0.1,0,scan_2000,,,,,,,,,,,
cifar10,big_hello_kitty,0_all,0.1,0,abl,,0.9675,0.8374,0.8374,0.8374,0.8374,0.0181,4187,813,44187,813
cifar10,big_hello_kitty,0_all,0.2,0,vbd,1,0.9986,0.9932,0.9942,0.9922,0.9922,0.0006,4961,29,44971,39
cifar10,big_hello_kitty,0_all,0.2,0,agpd_100,,0.9998,0.9988,0.9998,0.9978,0.9978,0.0,4989,1,44999,11
cifar10,big_hello_kitty,0_all,0.2,0,scan_100,,0.9996,0.9981,1.0,0.9962,0.9962,0.0,4981,0,45000,19
cifar10,big_hello_kitty,0_all,0.2,0,agpd_2000,,,,,,,,,,,
cifar10,big_hello_kitty,0_all,0.2,0,scan_2000,,,,,,,,,,,
cifar10,big_hello_kitty,0_all,0.2,0,abl,,0.9636,0.8178,0.8178,0.8178,0.8178,0.0202,4089,911,44089,911
cifar10,big_hello_kitty,0_all,0.5,0,vbd,1,1.0,1.0,1.0,1.0,1.0,0.0,5000,0,45000,0
cifar10,big_hello_kitty,0_all,0.5,0,agpd_100,,0.9994,0.9972,0.9994,0.995,0.995,0.0001,4975,3,44997,25
cifar10,big_hello_kitty,0_all,0.5,0,scan_100,,1.0,0.9999,1.0,0.9998,0.9998,0.0,4999,0,45000,1
cifar10,big_hello_kitty,0_all,0.5,0,agpd_2000,,,,,,,,,,,
cifar10,big_hello_kitty,0_all,0.5,0,scan_2000,,,,,,,,,,,
cifar10,big_hello_kitty,0_all,0.5,0,abl,,0.9567,0.7834,0.7834,0.7834,0.7834,0.0241,3917,1083,43917,1083
cifar10,big_hello_kitty,0_all,1.0,0,vbd,2,0.999,0.9952,0.9905,1.0,1.0,0.0011,5000,48,44952,0
cifar10,big_hello_kitty,0_all,1.0,0,agpd_100,,0.9945,0.9734,0.9482,1.0,1.0,0.0061,5000,273,44727,0
cifar10,big_hello_kitty,0_all,1.0,0,scan_100,,1.0,1.0,1.0,1.0,1.0,0.0,5000,0,45000,0
cifar10,big_hello_kitty,0_all,1.0,0,agpd_2000,,,,,,,,,,,
cifar10,big_hello_kitty,0_all,1.0,0,scan_2000,,,,,,,,,,,
cifar10,big_hello_kitty,0_all,1.0,0,abl,,0.9292,0.6458,0.6458,0.6458,0.6458,0.0394,3229,1771,43229,1771
cifar10,small_hello_kitty,0_all,0.1,0,vbd,1,0.9992,0.9962,0.9938,0.9986,0.9986,0.0007,4993,31,44969,7
cifar10,small_hello_kitty,0_all,0.1,0,agpd_100,,0.9998,0.9991,0.9994,0.9988,0.9988,0.0001,4994,3,44997,6
cifar10,small_hello_kitty,0_all,0.1,0,scan_100,,0.9997,0.9985,0.9998,0.9972,0.9972,0.0,4986,1,44999,14
cifar10,small_hello_kitty,0_all,0.1,0,agpd_2000,,,,,,,,,,,
cifar10,small_hello_kitty,0_all,0.1,0,scan_2000,,,,,,,,,,,
cifar10,small_hello_kitty,0_all,0.1,0,abl,,0.9762,0.8808,0.8808,0.8808,0.8808,0.0132,4404,596,44404,596
cifar10,small_hello_kitty,0_all,0.2,0,vbd,2,0.9996,0.9978,0.9958,0.9998,0.9998,0.0005,4999,21,44979,1
cifar10,small_hello_kitty,0_all,0.2,0,agpd_100,,0.9971,0.9854,0.9979,0.9732,0.9732,0.0002,4866,10,44990,134
cifar10,small_hello_kitty,0_all,0.2,0,scan_100,,1.0,0.9999,1.0,0.9998,0.9998,0.0,4999,0,45000,1
cifar10,small_hello_kitty,0_all,0.2,0,agpd_2000,,,,,,,,,,,
cifar10,small_hello_kitty,0_all,0.2,0,scan_2000,,,,,,,,,,,
cifar10,small_hello_kitty,0_all,0.2,0,abl,,0.9814,0.907,0.907,0.907,0.907,0.0103,4535,465,44535,465
cifar10,small_hello_kitty,0_all,0.5,0,vbd,1,0.9998,0.9991,0.9982,1.0,1.0,0.0002,5000,9,44991,0
cifar10,small_hello_kitty,0_all,0.5,0,agpd_100,,0.9993,0.9965,1.0,0.993,0.993,0.0,4965,0,45000,35
cifar10,small_hello_kitty,0_all,0.5,0,scan_100,,1.0,0.9999,1.0,0.9998,0.9998,0.0,4999,0,45000,1
cifar10,small_hello_kitty,0_all,0.5,0,agpd_2000,,,,,,,,,,,
cifar10,small_hello_kitty,0_all,0.5,0,scan_2000,,,,,,,,,,,
cifar10,small_hello_kitty,0_all,0.5,0,abl,,0.9929,0.9646,0.9646,0.9646,0.9646,0.0039,4823,177,44823,177
cifar10,small_hello_kitty,0_all,1.0,0,vbd,1,0.9999,0.9994,0.9988,1.0,1.0,0.0001,5000,6,44994,0
cifar10,small_hello_kitty,0_all,1.0,0,agpd_100,,0.9997,0.9985,1.0,0.997,0.997,0.0,4985,0,45000,15
cifar10,small_hello_kitty,0_all,1.0,0,scan_100,,1.0,1.0,1.0,1.0,1.0,0.0,5000,0,45000,0
cifar10,small_hello_kitty,0_all,1.0,0,agpd_2000,,,,,,,,,,,
cifar10,small_hello_kitty,0_all,1.0,0,scan_2000,,,,,,,,,,,
cifar10,small_hello_kitty,0_all,1.0,0,abl,,0.9656,0.8278,0.8278,0.8278,0.8278,0.0191,4139,861,44139,861
cifar10,trigger_color_grid,0_all,0.1,0,vbd,2,0.9951,0.9763,0.9545,0.999,0.999,0.0053,4995,238,44762,5
cifar10,trigger_color_grid,0_all,0.1,0,agpd_100,,0.9851,0.9197,0.9988,0.8522,0.8522,0.0001,4261,5,44995,739
cifar10,trigger_color_grid,0_all,0.1,0,scan_100,,0.9978,0.9887,1.0,0.9776,0.9776,0.0,4888,0,45000,112
cifar10,trigger_color_grid,0_all,0.1,0,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,0_all,0.1,0,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,0_all,0.1,0,abl,,0.9752,0.876,0.876,0.876,0.876,0.0138,4380,620,44380,620
cifar10,trigger_color_grid,0_all,0.2,0,vbd,1,0.9979,0.9895,0.9794,0.9998,0.9998,0.0023,4999,105,44895,1
cifar10,trigger_color_grid,0_all,0.2,0,agpd_100,,0.986,0.9247,0.9991,0.8606,0.8606,0.0001,4303,4,44996,697
cifar10,trigger_color_grid,0_all,0.2,0,scan_100,,0.9999,0.9995,1.0,0.999,0.999,0.0,4995,0,45000,5
cifar10,trigger_color_grid,0_all,0.2,0,agpd_2000,,,,,,,,,,,
cifar10,trigger_color_grid,0_all,0.2,0,scan_2000,,,,,,,,,,,
cifar10,trigger_color_grid,0_all,0.2,0,abl,,0.9784,0.8918,0.8918,0.8918,0.8918,0.012,4459,541,44459,541
